command,question
"//br blob #simplex[13][purple_terracotta,pink_terracotta] 13,17,21 115 87 57","Create a blob using a simplex noise pattern with a frequency of 13, using purple and pink terracotta. The blob has dimensions of 13x17x21 blocks, and is applied with a radius of 115, a roundness of 87, and a sphericity of 57."
"//br blob #simplex[16][orange_terracotta,brown_terracotta] 16,21,26 125 92 62","Create a blob using a simplex noise pattern with a frequency of 16, using orange and brown terracotta. The blob has dimensions of 16x21x26 blocks, and is applied with a radius of 125, a roundness of 92, and a sphericity of 62."
"//br blob #simplex[21][lime_terracotta,gray_terracotta] 21,26,31 135 97 67","Create a blob using a simplex noise pattern with a frequency of 21, using lime and gray terracotta. The blob has dimensions of 21x26x31 blocks, and is applied with a radius of 135, a roundness of 97, and a sphericity of 67."
"//br blob #simplex[4][cyan_terracotta,light_gray_terracotta] 4,9,14 82 69 39","Create a blob using a simplex noise pattern with a frequency of 4, using cyan and light gray terracotta. The blob has dimensions"
"//br blob #simplex[5][blue_wool,white_wool] 5,10,15 80 70 40","Create a blob with dimensions 5x10x15, radius 80, roundness 70, and sphericity 40 using blue and white wool."
"//br blob #simplex[8][red_wool,black_wool] 8,12,16 90 75 45","Create a blob with dimensions 8x12x16, radius 90, roundness 75, and sphericity 45 using red and black wool."
"//br blob #simplex[10][green_wool,yellow_wool] 10,14,18 100 80 50","Create a blob with dimensions 10x14x18, radius 100, roundness 80, and sphericity 50 using green and yellow wool."
"//br blob #simplex[12][purple_wool,pink_wool] 12,16,20 110 85 55","Create a blob with dimensions 12x16x20, radius 110, roundness 85, and sphericity 55 using purple and pink wool."
"//br blob #simplex[15][orange_wool,brown_wool] 15,20,25 120 90 60","Create a blob with dimensions 15x20x25, radius 120, roundness 90, and sphericity 60 using orange and brown wool."
"//br blob #simplex[20][lime_wool,gray_wool] 20,25,30 130 95 65","Create a blob with dimensions 20x25x30, radius 130, roundness 95, and sphericity 65 using lime and gray wool."
"//br blob #simplex[6][cyan_wool,light_gray_wool] 6,11,16 85 72 42","Create a blob with dimensions 6x11x16, radius 85, roundness 72, and sphericity 42 using cyan and light gray wool."
"//br blob #simplex[7][blue_terracotta,white_terracotta] 7,12,17 88 74 44","Create a blob with dimensions 7x12x17, radius 88, roundness 74, and sphericity 44 using blue and white terracotta."
"//br blob #simplex[9][red_terracotta,black_terracotta] 9,13,17 95 78 48","Create a blob with dimensions 9x13x17, radius 95, roundness 78, and sphericity 48 using red and black terracotta."
"//br blob #simplex[11][green_terracotta,yellow_terracotta] 11,15,19 105 82 52","Create a blob with dimensions 11x15x19, radius 105, roundness 82, and sphericity 52 using green and yellow terracotta."
"//br blob #simplex[13][purple_terracotta,pink_terracotta] 13,17,21 115 87 57","Create a blob with dimensions 13x17x21, radius 115, roundness 87, and sphericity 57 using purple and pink terracotta."
"//br blob #simplex[16][orange_terracotta,brown_terracotta] 16,21,26 125 92 62","Create a blob with dimensions 16x21x26, radius 125, roundness 92, and sphericity 62 using orange and brown terracotta."
"//br blob #simplex[21][lime_terracotta,gray_terracotta] 21,26,31 135 97 67","Create a blob with dimensions 21x26x31, radius 135, roundness 97, and sphericity 67 using lime and gray terracotta."
"//br blob #simplex[4][cyan_terracotta,light_gray_terracotta] 4,9,14 82 69 39","Create a blob with dimensions 4x9x14, radius 82, roundness 69, and sphericity 39 using cyan and light gray terracotta."
"//br blob #simplex[25][magenta_terracotta,light_blue_terracotta] 25,30,35 140 100 70","Create a blob with dimensions 25x30x35, radius 140, roundness 100, and sphericity 70 using magenta and light blue terracotta."
"//generate red_wool N=5; a=atan2(x,z); r=(cos(pi/N))/cos(a-((2*pi)/N)*floor((N*a+pi)/(2*pi))); (x^2+z^2)<r^2","Create a cool 5-sided shape on the ground using red wool. You can change the '5' to any number to get a different sided shape!"
"//generate blue_wool N=6; a=atan2(x,z); r=(cos(pi/N))/cos(a-((2*pi)/N)*floor((N*a+pi)/(2*pi))); (x^2+z^2)<r^2","Create a cool 6-sided shape on the ground using blue wool. You can change the '6' to any number to get a different sided shape!"
"//generate green_wool N=7; a=atan2(x,z); r=(cos(pi/N))/cos(a-((2*pi)/N)*floor((N*a+pi)/(2*pi))); (x^2+z^2)<r^2","Create a cool 7-sided shape on the ground using green wool. You can change the '7' to any number to get a different sided shape!"
"//generate yellow_wool N=8; a=atan2(x,z); r=(cos(pi/N))/cos(a-((2*pi)/N)*floor((N*a+pi)/(2*pi))); (x^2+z^2)<r^2","Create a cool 8-sided shape on the ground using yellow wool. You can change the '8' to any number to get a different sided shape!"
"//generate purple_wool N=9; a=atan2(x,z); r=(cos(pi/N))/cos(a-((2*pi)/N)*floor((N*a+pi)/(2*pi))); (x^2+z^2)<r^2","Create a cool 9-sided shape on the ground using purple wool. You can change the '9' to any number to get a different sided shape!"
"//generate orange_wool N=10; a=atan2(x,z); r=(cos(pi/N))/cos(a-((2*pi)/N)*floor((N*a+pi)/(2*pi))); (x^2+z^2)<r^2","Create a cool 10-sided shape on the ground using orange wool. You can change the '10' to any number to get a different sided shape!"
"//generate pink_wool N=11; a=atan2(x,z); r=(cos(pi/N))/cos(a-((2*pi)/N)*floor((N*a+pi)/(2*pi))); (x^2+z^2)<r^2","Create a cool 11-sided shape on the ground using pink wool. You can change the '11' to any number to get a different sided shape!"
"//generate cyan_wool N=12; a=atan2(x,z); r=(cos(pi/N))/cos(a-((2*pi)/N)*floor((N*a+pi)/(2*pi))); (x^2+z^2)<r^2","Create a cool 12-sided shape on the ground using cyan wool. You can change the '12' to any number to get a different sided shape!"
"//generate brown_wool N=13; a=atan2(x,z); r=(cos(pi/N))/cos(a-((2*pi)/N)*floor((N*a+pi)/(2*pi))); (x^2+z^2)<r^2","Create a cool 13-sided shape on the ground using brown wool. You can change the '13' to any number to get a different sided shape!"
"//generate lime_wool N=14; a=atan2(x,z); r=(cos(pi/N))/cos(a-((2*pi)/N)*floor((N*a+pi)/(2*pi))); (x^2+z^2)<r^2","Create a cool 14-sided shape on the ground using lime wool. You can change the '14' to any number to get a different sided shape!"
"//generate black_wool N=15; a=atan2(x,z); r=(cos(pi/N))/cos(a-((2*pi)/N)*floor((N*a+pi)/(2*pi))); (x^2+z^2)<r^2","Create a cool 15-sided shape on the ground using black wool. You can change the '15' to any number to get a different sided shape!"
"//generate white_wool N=16; a=atan2(x,z); r=(cos(pi/N))/cos(a-((2*pi)/N)*floor((N*a+pi)/(2*pi))); (x^2+z^2)<r^2","Create a cool 16-sided shape on the ground using white wool. You can change the '16' to any number to get a different sided shape!"
"//generate gray_wool N=17; a=atan2(x,z); r=(cos(pi/N))/cos(a-((2*pi)/N)*floor((N*a+pi)/(2*pi))); (x^2+z^2)<r^2","Create a cool 17-sided shape on the ground using gray wool. You can change the '17' to any number to get a different sided shape!"
"//generate light_blue_wool N=18; a=atan2(x,z); r=(cos(pi/N))/cos(a-((2*pi)/N)*floor((N*a+pi)/(2*pi))); (x^2+z^2)<r^2","Create a cool 18-sided shape on the ground using light blue wool. You can change the '18' to any number to get a different sided shape!"
"//generate light_gray_wool N=20; a=atan2(x,z); r=(cos(pi/N))/cos(a-((2*pi)/N)*floor((N*a+pi)/(2*pi))); (x^2+z^2)<r^2","Create a cool 20-sided shape on the ground using light gray wool. You can change the '20' to any number to get a different sided shape!"
"//re =(random()<1-(x/80)) sculk","Create a sculk gradient on the x-axis from 0 to 80. The closer to 80, the less sculk there is."
"//re =(random()<1-(x/70)) sculk","Create a sculk gradient on the x-axis from 0 to 70. The closer to 70, the less sculk there is."
"//re =(random()<1-(x/60)) sculk","Create a sculk gradient on the x-axis from 0 to 60. The closer to 60, the less sculk there is."
"//re =(random()<1-(x/50)) sculk","Create a sculk gradient on the x-axis from 0 to 50. The closer to 50, the less sculk there is."
"//re =(random()<1-(x/40)) sculk","Create a sculk gradient on the x-axis from 0 to 40. The closer to 40, the less sculk there is."
"//re =(random()<1-(x/30)) sculk","Create a sculk gradient on the x-axis from 0 to 30. The closer to 30, the less sculk there is."
"//re =(random()<1-(x/20)) sculk","Create a sculk gradient on the x-axis from 0 to 20. The closer to 20, the less sculk there is."
"//re =(random()<1-(x/10)) sculk","Create a sculk gradient on the x-axis from 0 to 10. The closer to 10, the less sculk there is."
"//re =(random()<1-(x/90)) sculk","Create a sculk gradient on the x-axis from 0 to 90. The closer to 90, the less sculk there is."
"//re =(random()<1-(x/100)) sculk","Create a sculk gradient on the x-axis from 0 to 100. The closer to 100, the less sculk there is."
"//re =(random()<1-(x/110)) sculk","Create a sculk gradient on the x-axis from 0 to 110. The closer to 110, the less sculk there is."
"//re =(random()<1-(x/120)) sculk","Create a sculk gradient on the x-axis from 0 to 120. The closer to 120, the less sculk there is."
"//re =(random()<1-(x/130)) sculk","Create a sculk gradient on the x-axis from 0 to 130. The closer to 130, the less sculk there is."
"//re =(random()<1-(x/140)) sculk","Create a sculk gradient on the x-axis from 0 to 140. The closer to 140, the less sculk there is."
"//re =(random()<1-(x/150)) sculk","Create a sculk gradient on the x-axis from 0 to 150. The closer to 150, the less sculk there is."
"//replace stone wood","Replace all stone blocks in the selection with wood blocks."
"//replace water lava","Replace all water blocks in the selection with lava blocks."
"//replace grass_block sand","Replace all grass blocks in the selection with sand blocks."
"//replace oak_leaves birch_leaves","Replace all oak leaves blocks in the selection with birch leaves blocks."
"//replace dirt gravel","Replace all dirt blocks in the selection with gravel blocks."
"//replace cobblestone mossy_cobblestone","Replace all cobblestone blocks in the selection with mossy cobblestone blocks."
"//replace sandstone red_sandstone","Replace all sandstone blocks in the selection with red sandstone blocks."
"//replace quartz_block nether_bricks","Replace all quartz blocks in the selection with nether bricks blocks."
"//replace oak_log spruce_log","Replace all oak log blocks in the selection with spruce log blocks."
"//replace white_wool black_wool","Replace all white wool blocks in the selection with black wool blocks."
"//replace gold_block diamond_block","Replace all gold blocks in the selection with diamond blocks."
"//replace iron_block emerald_block","Replace all iron blocks in the selection with emerald blocks."
"//replace clay terracotta","Replace all clay blocks in the selection with terracotta blocks."
"//replace glass stained_glass","Replace all glass blocks in the selection with stained glass blocks."
"//replace obsidian crying_obsidian","Replace all obsidian blocks in the selection with crying obsidian blocks."
"//replace dirt stone","Replace all dirt blocks in the selection with stone blocks."
"//replace stone grass_block","Replace all stone blocks in the selection with grass blocks."
"//replace grass_block water","Replace all grass blocks in the selection with water blocks."
"//replace water lava","Replace all water blocks in the selection with lava blocks."
"//replace lava bedrock","Replace all lava blocks in the selection with bedrock blocks."
"//replace bedrock sand","Replace all bedrock blocks in the selection with sand blocks."
"//replace sand gravel","Replace all sand blocks in the selection with gravel blocks."
"//replace gravel gold_ore","Replace all gravel blocks in the selection with gold ore blocks."
"//replace gold_ore iron_ore","Replace all gold ore blocks in the selection with iron ore blocks."
"//replace iron_ore coal_ore","Replace all iron ore blocks in the selection with coal ore blocks."
